CID_pubchem,drug_name,DDInterIDs,joined_to_ddinter,display_name
5651,"48-[3-(4-Amino-5-hydroxy-4,6-dimethyloxan-2-yl)oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-22-(2-amino-2-oxoethyl)-5,15-dichloro-2,18,32,35,37-pentahydroxy-19-[[4-methyl-2-(methylamino)pentanoyl]amino]-20,23,26,42,44-pentaoxo-7,13-dioxa-21,24,27,41,43-pentazaoctacyclo[26.14.2.23,6.214,17.18,12.129,33.010,25.034,39]pentaconta-3,5,8(48),9,11,14,16,29(45),30,32,34(39),35,37,46,49-pentadecaene-40-carboxylic acid",,no,
5656,Venlafaxine,DDInter1927,yes,Venlafaxine
5672,"Methyl 4-(acetyloxy)-15-(4-ethyl-8-(methoxycarbonyl)-1,3,6,7,8,9-hexahydro-2,6-methanoazecino(4,3-b)indol-8-yl)-3-hydroxy-16-methoxy-1-methyl-6,7-didehydroaspidospermidine-3-carboxylate",,no,
56959,Ranolazine,DDInter1570,yes,Ranolazine
5717,Zafirlukast,DDInter1955,yes,Zafirlukast
5719,Zaleplon,DDInter1957,yes,
5731,"4-((3-(2-(Dimethylamino)ethyl)-1H-indol-5-yl)methyl)-1,3-oxazolidin-2-one",,no,
5732,Zolpidem,DDInter1970,yes,Zolpidem
5734,Zonisamide,DDInter1971,yes,Zonisamide
5735,Zopiclone,DDInter1972,yes,Zopiclone
5746,Mitomycin C,DDInter1232,yes,Mitomycin C
57469,Imiquimod,DDInter913;DDInter914,yes,
581,N-Acetyl-DL-cysteine,,no,
596,4-Amino-1-pentofuranosyl-2(1H)-pyrimidinone,,no,
59708,alpha-ethyl-2-oxo-1-Pyrrolidineacetamide,DDInter1046,yes,Levetiracetam
5978,Vincristine,DDInter1937;DDInter1938,yes,Vincristine
60184,"2'-epi-Perindopril, (2'R)-",,no,
60198,Exemestane,DDInter705,yes,Exemestane
60612,Levomedetomidine,,no,
60787,"Butanediamide, N1-((1S,2R)-3-((3S)-3-(((1,1-dimethylethyl)amino)carbonyl)octahydro-2(1H)-isoquinolinyl)-2-hydroxy-1-(phenylmethyl)propyl)-2-((2-quinolinylcarbonyl)amino)-, (2S)-",,no,
60795,Aripiprazole,DDInter118,yes,Aripiprazole
60843,,,no,
60871,Adefovir Dipivoxil,DDInter30,yes,
60953,Capecitabine,DDInter285,yes,Capecitabine
6398970,"(6R,7R)-7-[[2-(2-amino-4-thiazolyl)-2-hydroxyimino-1-oxoethyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",DDInter315,yes,
64147,,,no,
6435110,Ivermectin (USAN:USP:INN:BAN),DDInter998,yes,
65999,Telmisartan,DDInter1759,yes,Telmisartan
667490,6-Mercaptopurine,DDInter1156,yes,6-Mercaptopurine
68740,Zoledronic Acid,DDInter1968,yes,Zoledronic Acid
68844,Brinzolamide,DDInter237,yes,
71273,"N-(2,6-Dimethylphenyl)-1-propyl-2-piperidinecarboxamide",DDInter1620,yes,
71329,Dofetilide,DDInter580,yes,
71616,Voriconazole,DDInter1946,yes,Voriconazole
72054,(+-)-Darifenacin,DDInter480,yes,Darifenacin
74989,"3-(4-(4-Chlorophenyl)cyclohexyl)-4-hydroxynaphthalene-1,2-dione",DDInter134,yes,Atovaquone
772,2-O-Sulfohexopyranuronosyl-(1->4)-2-deoxy-3-O-sulfo-2-(sulfoamino)hexopyranosyl-(1->4)-2-O-sulfohexopyranuronosyl-(1->4)-2-acetamido-2-deoxy-6-O-sulfohexopyranose,,no,
77992,Frovatriptan,DDInter788,yes,
77993,Eletriptan,DDInter627,yes,Eletriptan
82146,Bexarotene,DDInter202;DDInter203,yes,Bexarotene
838,(+-)-Adrenaline,DDInter1560,yes,
85,"1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt",,no,
937,Nicotinate,,no,
93860,"Bortezomib, (1S,2R)-",DDInter222,yes,Bortezomib
942,3-(1-Methylpyrrolidin-2-yl)pyridine,DDInter1290,yes,3-(1-Methylpyrrolidin-2-yl)pyridine
9433,Aminophylline,DDInter74,yes,
