CID_pubchem,drug_name,DDInterIDs,joined_to_ddinter,display_name
3059,Diflunisal,DDInter551,yes,Diflunisal
3062,Lanicor,,no,
3062316,Dasatinib,DDInter484,yes,Dasatinib
3066,Dihydroegotamine,,no,
3075,"2-[3-Acetyloxy-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-5-yl]ethyl-dimethylazanium",,no,
3108,Dipyridamole,DDInter573,yes,Dipyridamole
3114,Disopyramide,DDInter575,yes,
3117,Disulfiram,DDInter576,yes,
3121,Valproic Acid,DDInter1913,yes,Valproic Acid
3143,Docetaxol,,no,
3148,Anzemet,DDInter581,yes,Anzemet
3152,Donepezil,DDInter583,yes,Donepezil
3154,"4H-Thieno(2,3-b)thiopyran-2-sulfonamide, 4-(ethylamino)-5,6-dihydro-6-methyl-, 7,7-dioxide",,no,
3157,Doxazosin,DDInter592,yes,Doxazosin
3158,Doxepin,DDInter593;DDInter594,yes,Doxepin
3198,Econazole,DDInter616,yes,
3203,Rac-Efavirenz,DDInter624,yes,Rac-Efavirenz
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,DDInter638,yes,Enalapril
3249,Npc67059,,no,
3255,"6-((4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl)oxy)-14-ethyl-7,12,13-trihydroxy-4-((5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy)-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",DDInter670,yes,Erythromycin
3261,Estazolam,DDInter677,yes,
3278,Ethacrynic Acid,DDInter686,yes,
32797,"(9R,17R)-17-(2-chloroacetyl)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",,no,
3291,Ethosuximide,DDInter695,yes,
3308,Etodolac,DDInter699,yes,Etodolac
3310,"Furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5aH)-one, 9-((4,6-O-ethylidene-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5R-(5alpha,5abeta,8aalpha,9beta(R*)))-",,no,
3324,Famciclovir,DDInter711,yes,Famciclovir
3325,Gastro,,no,
3333,Felodipine,DDInter716,yes,Felodipine
3339,Fenofibrate,DDInter718,yes,Fenofibrate
3345,Fentanyl,DDInter722,yes,Fentanyl
3348,Fexofenadine,DDInter732,yes,Fexofenadine
3350,"4a,6a-Dimethyl-2-oxo-2,4a,4b,5,6,6a,7,8,9,9a,9b,10,11,11a-tetradecahydro-1H-indeno(5,4-f)quinoline-7-carboxylic acid tert-butylamide",,no,
3355,"[2,5-Bis(2,2,2-trifluoroethoxy)benzoyl]-(piperidin-2-ylmethyl)azanium",,no,
3365,Fluconazole,DDInter743,yes,Fluconazole
3372,Fluphenazine,DDInter760,yes,
3379,"12-Fluoro-5-hydroxy-6b-(hydroxyacetyl)-4a,6a,8,8-tetramethyl-4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-dodecahydro-2H,8H-naphtho(2',1':4,5)indeno(1,2-d)(1,3)dioxol-2-one",,no,
3384,"9-Fluoro-11,17-dihydroxy-6-methylpregna-1,4-diene-3,20-dione",,no,
3385,5-Fluorouracil,DDInter757,yes,5-Fluorouracil
3386,Fluoxetine,DDInter758,yes,Fluoxetine
3393,Flurazepam,DDInter762,yes,
3394,Flurbiprofen,DDInter763;DDInter764,yes,Flurbiprofen
3397,Flutamide,DDInter765,yes,Flutamide
3403,"7-[3-(4-Fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid",,no,
3404,5-Methoxy-1-(4-(trifluoromethyl)phenyl)-1-pentanone O-(2-aminoethyl)oxime,DDInter770,yes,Fluvoxamine
3405,,,no,
3410,Formoterol,DDInter776,yes,Formoterol
3414,Phosphonatoformate,DDInter779,yes,Phosphonatoformate
3419,4-Cyclohexyl-1-[2-[(2-methyl-1-propanoyloxypropoxy)-(4-phenylbutyl)phosphoryl]acetyl]pyrrolidine-2-carboxylate,,no,
34312,Oxcarbazepine,DDInter1360,yes,Oxcarbazepine
3440,Furosemide,DDInter790,yes,Furosemide
3449,Galantamin,,no,
3454,,,no,
3461,"4-Amino-1-[3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-2-oxolanyl]-2-pyrimidinone",,no,
3463,Gemfibrozil,DDInter812,yes,Gemfibrozil
3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",DDInter825,yes,Glimepiride
3478,Glipizide,DDInter826,yes,Glipizide
3488,Glibenclamide,DDInter831,yes,Glibenclamide
3510,(3H)granisetron,DDInter840,yes,(3H)granisetron
3559,Haloperidol,DDInter853,yes,Haloperidol
36339,Ethnor,DDInter700,yes,
3637,Hydralazine,DDInter882,yes,Hydralazine
3639,Hydrochlorothiazide,DDInter883,yes,Hydrochlorothiazide
3640,"11,17,21-Trihydroxypregn-4-ene-3,20-dione",,no,
3648,"4,5alpha-Epoxy-3-hydroxy-17-methylmorphinan-6-one",,no,
3652,Hydroxychloroquine,DDInter893,yes,Hydroxychloroquine
3657,Hydroxyurea,DDInter894,yes,Hydroxyurea
3658,Hydroxyzine,DDInter895,yes,Hydroxyzine
3672,"Ibuprofen, (+-)-",DDInter900,yes,Ibuprofen
3675,Phenelzine,DDInter1440,yes,
3676,Lidocaine,DDInter1066;DDInter1067;DDInter1068,yes,Lidocaine
3690,Ifosfamide,DDInter906,yes,Ifosfamide
3696,Imipramine,DDInter912,yes,Imipramine
3702,Indapamide,DDInter916,yes,Indapamide
3706,"1-(4-Benzyl-2-hydroxy-5-((2-hydroxy-2,3-dihydro-1H-inden-1-yl)amino)-5-oxopentyl)-N-tert-butyl-4-((pyridin-3-yl)methyl)piperazine-2-carboxamide",,no,
3715,Indomethacin,DDInter921,yes,Indomethacin
3749,Irbesartan,DDInter972,yes,Irbesartan
3750,"4,11-Diethyl-4-hydroxy-3,14-dioxo-3,4,12,14-tetrahydro-1H-pyrano(3',4':6,7)indolizino(1,2-b)quinolin-9-yl (1,4'-bipiperidine)-1'-carboxylate",,no,
3763,Isoflurane,DDInter983,yes,
3767,Isoniazid,DDInter986,yes,Isoniazid
3780,Isosorbide dinitrate mixture,,no,
3784,Isradipine,DDInter993,yes,Isradipine
3793,Itrizole,DDInter995,yes,Itrizole
3823,"1-(4-(4-((2-(2,4-Dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)piperazin-1-yl)ethanone",DDInter1008,yes,Ketoconazole
3825,Ketoprofen,DDInter1009,yes,Ketoprofen
3826,Ketorolac,DDInter1010;DDInter1011,yes,Ketorolac
3827,Ketotifen,DDInter1012,yes,Ketotifen
3869,Labetalol,DDInter1013,yes,Labetalol
3877,Mls003373964,,no,
3878,Lamotrigine,DDInter1020,yes,Lamotrigine
3883,Lansoprazole,DDInter1022,yes,Lansoprazole
3890,"Isopropyl 7-((1R,2R,3R,5S)-3,5-dihydroxy-2-((R)-3-hydroxy-5-phenylpentyl)cyclopentyl)hept-5-enoate",,no,
38904,"Azane;cyclobutane-1,1-dicarboxylic acid;platinum",DDInter298,yes,Carboplatin
3899,Leflunomide,DDInter1033,yes,Leflunomide
3902,Letrozole,DDInter1040,yes,Letrozole
3929,rac-Linezolid,DDInter1073,yes,
3937,1-{6-Amino-2-[(1-carboxy-3-phenylpropyl)amino]hexanoyl}pyrrolidine-2-carboxylic acid,,no,
3954,Loperamide(1+),DDInter1088,yes,Loperamide
3957,Loratadine,DDInter1091,yes,Loratadine
3961,Losartan,DDInter1095,yes,Losartan
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",DDInter1098,yes,Lovastatin
4011,Maprotiline,DDInter1124,yes,
4034,Meclizine,DDInter1134,yes,Meclizine
4044,Mefenamic Acid,DDInter1139,yes,Mefenamic Acid
4046,Mefloquine,DDInter1140,yes,
4053,Sarcolysin,,no,
4054,Memantine,DDInter1146,yes,Memantine
4058,Meperidine,DDInter1150,yes,Meperidine
4064,Meprobamate,DDInter1154,yes,
4075,5-Aminosalicylic Acid,DDInter1158,yes,5-Aminosalicylic Acid
4091,Metformin,DDInter1164,yes,Metformin
4095,Methadone,DDInter1166,yes,Methadone
40976,"(17R)-13-ethyl-17-ethynyl-17-hydroxy-11-methylidene-2,6,7,8,9,10,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",,no,
4112,"Methotrexate, (A+-)-",DDInter1174,yes,Methotrexate
4140,Isomethergine,,no,
4158,Methylphenidate,DDInter1189,yes,Methylphenidate
4159,6-alpha-Methylprednisolone,,no,
4168,Metoclopramide,DDInter1197,yes,Metoclopramide
41693,Sufentanil,DDInter1718,yes,
4171,Metoprolol,DDInter1200,yes,Metoprolol
4173,Metronidazole,DDInter1202,yes,Metronidazole
4178,Mexiletine,DDInter1206,yes,Mexiletine
41781,Torasemide,DDInter1836,yes,Torasemide
4189,Miconazole,DDInter1209,yes,Miconazole
4192,Midazolam,DDInter1212,yes,
4195,Midodrine,DDInter1213,yes,Midodrine
4201,Minoxidil,DDInter1226,yes,Minoxidil
4205,Mirtazapine,DDInter1230,yes,Mirtazapine
4211,Mitotane,DDInter1233,yes,
4212,Mitoxantrone,DDInter1234,yes,Mitoxantrone
4236,Modafinil,DDInter1236,yes,Modafinil
4253,"Morphinan-3,6alpha-diol, 7,8-didehydro-4,5alpha-epoxy-17-methyl-",,no,
4409,Nabumetone,DDInter1254,yes,Nabumetone
4411,"5-[3-(Tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol",DDInter1255,yes,Nadolol
4425,"4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro(3,2-e)isoquinoline-7-one",DDInter1262,yes,Naloxone
4428,"3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",DDInter1263,yes,
444,Bupropion,DDInter252,yes,Bupropion
4440,Naratriptan,DDInter1267,yes,
444033,"2-[(1S,2S,4R,8S,9S,11S,12S,13R)-6-cyclohexyl-11-hydroxy-9,13-dimethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.0^{2,9}.0^{4,8}.0^{13,18}]icosa-14,17-dien-8-yl]-2-oxoethyl 2-methylpropanoate",DDInter375;DDInter376,yes,
4449,Nefazodone,DDInter1274,yes,Nefazodone
4451,"N-tert-butyl-2-[2-hydroxy-3-[(3-hydroxy-2-methylbenzoyl)amino]-4-phenylsulfanylbutyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinoline-3-carboxamide",,no,
4463,Nevirapine,DDInter1285,yes,Nevirapine
4473,"Benzyl-[2-[5-methoxycarbonyl-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carbonyl]oxyethyl]-methylazanium",,no,
4485,Nifedipine,DDInter1291,yes,Nifedipine
4497,Nimodipine,DDInter1295,yes,
4499,Nisoldipine,DDInter1298,yes,Nisoldipine
4506,Nitrazepam,DDInter1301,yes,Nitrazepam
4509,Furantoin,,no,
4513,Nizatidine,DDInter1309,yes,Nizatidine
4536,"1-Ethynyl-1-hydroxy-11a-methyl-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta(a)phenanthren-7-one",,no,
4539,Norfloxacin,DDInter1313,yes,Norfloxacin
4543,Nortriptyline,DDInter1316,yes,Nortriptyline
4547,2-Ethoxy-4-(2-((3-methyl-1-(2-(piperidin-1-yl)phenyl)butyl)amino)-2-oxoethyl)benzoic acid,,no,
4583,Ofloxacin,DDInter1325,yes,Ofloxacin
4585,,,no,
4594,Prilosec,DDInter1340,yes,Prilosec
4595,Ondansetron,DDInter1342,yes,Ondansetron
4599,1-(3-Hexyl-4-oxooxetan-2-yl)tridecan-2-yl 2-formamido-4-methylpentanoate,,no,
4603,Ethyl 4-acetamido-5-amino-3-((pentan-3-yl)oxy)cyclohex-1-ene-1-carboxylate,,no,
4607,"3,3-Dimethyl-6-{[(5-methyl-3-phenyl-1,2-oxazol-4-yl)carbonyl]amino}-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",,no,
4609,"Platinum,2-cyclohexanediamine-N,N')[ethanedioato(2-)-O,O']-, [SP-4-2-(cis)]-",,no,
4614,Oxaprozin,DDInter1358,yes,Oxaprozin
4616,Oxazepam,DDInter1359,yes,Oxazepam
4634,Oxybutynin,DDInter1365,yes,Oxybutynin
4635,"4a-Hydroxy-9-methoxy-3-methyl-2,3,4,4a,5,6-hexahydro-1H-4,12-methano(1)benzofuro(3,2-e)isoquinolin-7(7aH)-one",,no,
4659569,Tolcapone,DDInter1829,yes,Tolcapone
4666,"4,10-Bis(acetyloxy)-13-((3-benzamido-2-hydroxy-3-phenylpropanoyl)oxy)-1,7-dihydroxy-9-oxo-5,20-epoxytax-11-en-2-yl benzoate",,no,
4675,"[17-acetyloxy-10,13-dimethyl-2,16-bis(1-methylpiperidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",,no,
4679,Pantoprazole,DDInter1388,yes,Pantoprazole
4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",DDInter1397,yes,Paroxetine
4727,(+-)-Penicillamine,DDInter1419,yes,
4740,Pentoxifylline,DDInter1426,yes,
4745,8beta-[(Methylthio)methyl]-6-propylergoline,,no,
4748,Perphenazine,DDInter1432,yes,Perphenazine
4771,Phentermine,DDInter1447,yes,Phentermine
4819,"2(3H)-Furanone, 3-ethyldihydro-4-((1-methyl-1H-imidazol-5-yl)methyl)-, (3S-cis)-",DDInter1465,yes,Pilocarpine
4828,Pindolol,DDInter1471,yes,
4829,Pioglitazone,DDInter1472,yes,Pioglitazone
4834,"6-{[{[(4-Ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",,no,
4885,"4,5,6,7-Tetrahydro-N6-propyl-2,6-benzothiazolediamine",DDInter1505,yes,
