CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
2187,Anastrozole,60198,Exemestane,CYP19A1,P11511,inhibition,Unknown
1983,Acetaminophen,3902,Letrozole,CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,3902,Letrozole,CYP2A6,P11509,inhibition,Unknown
2907,Cyclophosphamide,3016,Diazepam,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,3016,Diazepam,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3016,Diazepam,CYP3A4,P08684,inhibition,Unknown
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
3386,Fluoxetine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3386,Fluoxetine,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,3715,Indomethacin,ABCC4 (MRP4),O15439,transporter_inhibition,Moderate
2662,Celecoxib,3715,Indomethacin,PTGS2,P35354,inhibition,Moderate
4171,Metoprolol,5291,Imatinib,CYP2D6,P10635,inhibition,Moderate
4171,Metoprolol,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2907,Cyclophosphamide,2955,Dapsone,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,2955,Dapsone,CYP2C9,P11712,induction,Unknown
2162,Amlodipine,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2162,Amlodipine,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2162,Amlodipine,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2662,Celecoxib,3365,Fluconazole,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,4943,Propofol,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,4943,Propofol,CYP3A4,P08684,induction,Unknown
2662,Celecoxib,5732,Zolpidem,CYP2D6,P10635,inhibition,Unknown
3902,Letrozole,3957,Loratadine,CYP3A4,P08684,induction,Unknown
3902,Letrozole,3957,Loratadine,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3957,Loratadine,CYP3A4,P08684,induction,Moderate
2662,Celecoxib,3957,Loratadine,CYP3A4,P08684,inhibition,Moderate
4594,Prilosec,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
2955,Dapsone,93860,"Bortezomib, (1S,2R)-",CYP2C9,P11712,induction,Moderate
2955,Dapsone,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Moderate
5376,"(E,Z)-Tamoxifen",5732,Zolpidem,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",5732,Zolpidem,CYP3A4,P08684,inhibition,Unknown
3793,Itrizole,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3793,Itrizole,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
5391,Temazepam,216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
2244,Aspirin,216239,Sorafenib,CYP2C19,P33261,induction,Unknown
2244,Aspirin,216239,Sorafenib,CYP2C9,P11712,inhibition,Unknown
2244,Aspirin,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2662,Celecoxib,5073,Risperidone,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,4594,Prilosec,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,4594,Prilosec,CYP2C19,P33261,inhibition,Unknown
2083,Salbutamol,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
1983,Acetaminophen,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
1983,Acetaminophen,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,5978,Vincristine,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2187,Anastrozole,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
3899,Leflunomide,5735,Zopiclone,CYP2C9,P11712,inhibition,Unknown
4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,3883,Lansoprazole,CYP3A4,P08684,induction,Unknown
2662,Celecoxib,3883,Lansoprazole,CYP3A4,P08684,inhibition,Unknown
1983,Acetaminophen,13342,Vinblastine,CYP3A4,P08684,inhibition,Unknown
1983,Acetaminophen,13342,Vinblastine,CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,13342,Vinblastine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
1983,Acetaminophen,13342,Vinblastine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2585,Carvedilol,2662,Celecoxib,CYP2D6,P10635,inhibition,Moderate
2907,Cyclophosphamide,3652,Hydroxychloroquine,CYP2D6,P10635,inhibition,Unknown
2462,Respules,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2462,Respules,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
3385,5-Fluorouracil,4485,Nifedipine,CYP1A2,P05177,inhibition,Unknown
3385,5-Fluorouracil,4485,Nifedipine,ABCC3,O15438,transporter_induction,Unknown
3385,5-Fluorouracil,4485,Nifedipine,CYP2C9,P11712,induction,Unknown
1983,Acetaminophen,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
444,Bupropion,3899,Leflunomide,CYP2C9,P11712,inhibition,Major
3657,Hydroxyurea,4171,Metoprolol,CYP2D6,P10635,inhibition,Unknown
5732,Zolpidem,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
4594,Prilosec,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Minor
2662,Celecoxib,4499,Nisoldipine,CYP3A4,P08684,inhibition,Unknown
2895,Cyclobenzaprine,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2895,Cyclobenzaprine,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
2187,Anastrozole,4679,Pantoprazole,CYP1A2,P05177,induction,Unknown
2187,Anastrozole,4679,Pantoprazole,CYP2C9,P11712,inhibition,Unknown
3385,5-Fluorouracil,54454,Simvastatin,CYP2C9,P11712,inhibition,Unknown
3385,5-Fluorouracil,54454,Simvastatin,CYP2C9,P11712,induction,Unknown
2244,Aspirin,5376,"(E,Z)-Tamoxifen",CYP2C9,P11712,inhibition,Unknown
2244,Aspirin,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2244,Aspirin,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
2244,Aspirin,5376,"(E,Z)-Tamoxifen",CYP2C19,P33261,induction,Unknown
4594,Prilosec,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
4594,Prilosec,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
4927,Promethazine,5376,"(E,Z)-Tamoxifen",CYP2C9,P11712,inhibition,Moderate
4927,Promethazine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
4927,Promethazine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Moderate
2662,Celecoxib,3672,"Ibuprofen, (+-)-",ABCC4 (MRP4),O15439,transporter_inhibition,Moderate
2662,Celecoxib,3672,"Ibuprofen, (+-)-",CYP2C9,P11712,inhibition,Moderate
3883,Lansoprazole,3899,Leflunomide,CYP1A2,P05177,induction,Unknown
3883,Lansoprazole,3899,Leflunomide,ABCG2 (BCRP),Q9UNQ0,transporter_inhibition,Unknown
3883,Lansoprazole,3899,Leflunomide,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,2771,Citalopram,CYP2D6,P10635,inhibition,Moderate
2162,Amlodipine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2162,Amlodipine,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
3749,Irbesartan,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
5732,Zolpidem,216239,Sorafenib,CYP1A2,P05177,inhibition,Unknown
942,3-(1-Methylpyrrolidin-2-yl)pyridine,2662,Celecoxib,CYP2D6,P10635,inhibition,Unknown
2907,Cyclophosphamide,3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,CYP3A4,P08684,inhibition,Unknown
3152,Donepezil,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Moderate
3152,Donepezil,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Moderate
3899,Leflunomide,5090,Rofecoxib,CYP1A2,P05177,inhibition,Major
2764,Ciprofloxacin,5426,Thalidomide,CYP1A2,P05177,inhibition,Moderate
2764,Ciprofloxacin,5426,Thalidomide,CYP3A5,P20815,induction,Moderate
2907,Cyclophosphamide,3559,Haloperidol,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,3559,Haloperidol,CYP2D6,P10635,induction,Unknown
2907,Cyclophosphamide,3559,Haloperidol,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4173,Metronidazole,5394,Temozolomide,CYP3A4,P08684,inhibition,Unknown
4173,Metronidazole,5394,Temozolomide,CYP3A4,P08684,induction,Unknown
4917,Prochlorperazine,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
3386,Fluoxetine,3902,Letrozole,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3345,Fentanyl,CYP3A4,P08684,inhibition,Unknown
5426,Thalidomide,5512,2-(3-(Di(propan-2-yl)amino)-1-phenylpropyl)-4-methylphenol,CYP2C19,P33261,inhibition,Unknown
2662,Celecoxib,3157,Doxazosin,CYP2D6,P10635,inhibition,Unknown
2662,Celecoxib,3784,Isradipine,CYP3A4,P08684,inhibition,Unknown
2806,(RS)-Clopidogrel,3899,Leflunomide,CYP2C9,P11712,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",60198,Exemestane,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",60198,Exemestane,CYP19A1,P11511,inhibition,Unknown
4171,Metoprolol,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4171,Metoprolol,5376,"(E,Z)-Tamoxifen",CYP2D6,P10635,inhibition,Unknown
4171,Metoprolol,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
2907,Cyclophosphamide,4829,Pioglitazone,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,4829,Pioglitazone,CYP3A4,P08684,induction,Unknown
3385,5-Fluorouracil,4595,Ondansetron,CYP1A2,P05177,inhibition,Unknown
3385,5-Fluorouracil,4946,Propranolol,CYP1A2,P05177,inhibition,Unknown
3883,Lansoprazole,216239,Sorafenib,CYP1A2,P05177,induction,Unknown
3883,Lansoprazole,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3883,Lansoprazole,216239,Sorafenib,CYP1A2,P05177,inhibition,Unknown
3702,Indapamide,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
3702,Indapamide,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,5512,2-(3-(Di(propan-2-yl)amino)-1-phenylpropyl)-4-methylphenol,CYP2D6,P10635,inhibition,Minor
2662,Celecoxib,3488,Glibenclamide,CYP3A4,P08684,inhibition,Moderate
2806,(RS)-Clopidogrel,176870,Erlotinib,CYP2C8,P10632,inhibition,Unknown
3902,Letrozole,1349907,Methimazole,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,4634,Oxybutynin,CYP3A4,P08684,inhibition,Unknown
5732,Zolpidem,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
3676,Lidocaine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
3676,Lidocaine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3676,Lidocaine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
3676,Lidocaine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,5095,Ropinirole,CYP2D6,P10635,inhibition,Unknown
3255,"6-((4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl)oxy)-14-ethyl-7,12,13-trihydroxy-4-((5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy)-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",3899,Leflunomide,CYP1A2,P05177,inhibition,Major
4236,Modafinil,60953,Capecitabine,CYP2C9,P11712,induction,Unknown
4236,Modafinil,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",93860,"Bortezomib, (1S,2R)-",CYP2C9,P11712,induction,Moderate
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,4946,Propranolol,CYP2D6,P10635,inhibition,Moderate
2662,Celecoxib,4819,"2(3H)-Furanone, 3-ethyldihydro-4-((1-methyl-1H-imidazol-5-yl)methyl)-, (3S-cis)-",CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3333,Felodipine,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3385,5-Fluorouracil,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,3385,5-Fluorouracil,ABCC4 (MRP4),O15439,transporter_inhibition,Unknown
3385,5-Fluorouracil,3961,Losartan,CYP1A2,P05177,inhibition,Unknown
4595,Ondansetron,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Moderate
4595,Ondansetron,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Moderate
2477,Buspirone,2662,Celecoxib,CYP2D6,P10635,inhibition,Unknown
4212,Mitoxantrone,4595,Ondansetron,CYP3A4,P08684,inhibition,Unknown
2250,Atorvastatin EP Impurity B,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2250,Atorvastatin EP Impurity B,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2250,Atorvastatin EP Impurity B,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
3899,Leflunomide,5578,Trimethoprim,CYP2C9,P11712,inhibition,Unknown
2585,Carvedilol,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2585,Carvedilol,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2585,Carvedilol,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
4205,Mirtazapine,60198,Exemestane,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,4168,Metoclopramide,CYP2D6,P10635,inhibition,Unknown
2662,Celecoxib,150311,Ezetimibe,CYP3A4,P08684,inhibition,Unknown
2153,Theophylline,2662,Celecoxib,CYP2D6,P10635,inhibition,Unknown
3488,Glibenclamide,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
3488,Glibenclamide,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3488,Glibenclamide,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
3488,Glibenclamide,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
4594,Prilosec,5426,Thalidomide,CYP2C19,P33261,inhibition,Unknown
3657,Hydroxyurea,4917,Prochlorperazine,CYP2D6,P10635,inhibition,Unknown
2585,Carvedilol,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2585,Carvedilol,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
1983,Acetaminophen,216326,Lenalidomide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
1983,Acetaminophen,216326,Lenalidomide,PTGS2,P35354,inhibition,Unknown
4212,Mitoxantrone,4917,Prochlorperazine,CYP3A4,P08684,inhibition,Unknown
1983,Acetaminophen,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
1983,Acetaminophen,5978,Vincristine,CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
1983,Acetaminophen,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
4236,Modafinil,176870,Erlotinib,CYP1A2,P05177,induction,Minor
4236,Modafinil,176870,Erlotinib,CYP1A2,P05177,inhibition,Minor
2771,Citalopram,5291,Imatinib,CYP3A4,P08684,inhibition,Minor
3690,Ifosfamide,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
3690,Ifosfamide,5291,Imatinib,CYP3A4,P08684,induction,Moderate
3676,Lidocaine,3899,Leflunomide,CYP2C9,P11712,inhibition,Unknown
5394,Temozolomide,54454,Simvastatin,CYP3A4,P08684,induction,Unknown
5394,Temozolomide,54454,Simvastatin,CYP3A4,P08684,inhibition,Unknown
3657,Hydroxyurea,54454,Simvastatin,CYP2D6,P10635,inhibition,Unknown
3957,Loratadine,216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
3957,Loratadine,216239,Sorafenib,CYP3A4,P08684,induction,Unknown
3957,Loratadine,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2162,Amlodipine,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
2187,Anastrozole,3957,Loratadine,CYP3A4,P08684,induction,Unknown
2187,Anastrozole,3957,Loratadine,CYP3A4,P08684,inhibition,Unknown
3899,Leflunomide,4173,Metronidazole,CYP2C9,P11712,inhibition,Moderate
2187,Anastrozole,150311,Ezetimibe,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,13342,Vinblastine,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,13342,Vinblastine,CYP3A4,P08684,induction,Moderate
2907,Cyclophosphamide,13342,Vinblastine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2907,Cyclophosphamide,13342,Vinblastine,ABCB1 (P-gp),P08183,transporter_induction,Moderate
3333,Felodipine,216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
3333,Felodipine,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2662,Celecoxib,5656,Venlafaxine,CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,4171,Metoprolol,CYP2D6,P10635,inhibition,Moderate
2662,Celecoxib,5478,(+-)-Timolol,CYP2D6,P10635,inhibition,Moderate
2171,"6-(2-Amino(4-hydroxyphenyl)acetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid",93860,"Bortezomib, (1S,2R)-",CYP2C19,P33261,inhibition,Unknown
4583,Ofloxacin,5426,Thalidomide,CYP1A2,P05177,inhibition,Moderate
4236,Modafinil,10631,Medroxyprogesterone,CYP3A4,P08684,induction,Moderate
4236,Modafinil,10631,Medroxyprogesterone,CYP2C9,P11712,inhibition,Moderate
4173,Metronidazole,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Moderate
3339,Fenofibrate,3385,5-Fluorouracil,CYP2C9,P11712,inhibition,Unknown
4594,Prilosec,5291,Imatinib,CYP3A4,P08684,inhibition,Unknown
2806,(RS)-Clopidogrel,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
2806,(RS)-Clopidogrel,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2806,(RS)-Clopidogrel,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",5291,Imatinib,CYP2C9,P11712,inhibition,Moderate
3365,Fluconazole,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Major
3365,Fluconazole,14888,Arsenic Trioxide,ABCB1 (P-gp),P08183,transporter_inhibition,Major
3899,Leflunomide,4485,Nifedipine,CYP1A2,P05177,inhibition,Unknown
3899,Leflunomide,4485,Nifedipine,CYP2C9,P11712,induction,Unknown
60953,Capecitabine,124087,Desloratadine,CYP2C9,P11712,inhibition,Unknown
5391,Temazepam,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2662,Celecoxib,4679,Pantoprazole,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,4679,Pantoprazole,CYP3A4,P08684,induction,Unknown
2267,Azelastine,2662,Celecoxib,CYP2D6,P10635,inhibition,Unknown
2756,Cimetidine,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2756,Cimetidine,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2756,Cimetidine,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2756,Cimetidine,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,74989,"3-(4-(4-Chlorophenyl)cyclohexyl)-4-hydroxynaphthalene-1,2-dione",CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,74989,"3-(4-(4-Chlorophenyl)cyclohexyl)-4-hydroxynaphthalene-1,2-dione",CYP2C9,P11712,induction,Unknown
2806,(RS)-Clopidogrel,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2806,(RS)-Clopidogrel,5291,Imatinib,CYP3A4,P08684,inhibition,Unknown
2187,Anastrozole,5512,2-(3-(Di(propan-2-yl)amino)-1-phenylpropyl)-4-methylphenol,CYP3A4,P08684,inhibition,Unknown
3961,Losartan,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
2244,Aspirin,3899,Leflunomide,CYP2C9,P11712,inhibition,Major
2662,Celecoxib,4449,Nefazodone,CYP3A4,P08684,inhibition,Unknown
4168,Metoclopramide,176870,Erlotinib,CYP2D6,P10635,inhibition,Unknown
3121,Valproic Acid,5394,Temozolomide,CYP3A4,P08684,inhibition,Minor
3121,Valproic Acid,5394,Temozolomide,CYP3A4,P08684,induction,Minor
2662,Celecoxib,3825,Ketoprofen,ABCC4 (MRP4),O15439,transporter_inhibition,Moderate
2662,Celecoxib,3825,Ketoprofen,CYP2C9,P11712,inhibition,Moderate
2771,Citalopram,4212,Mitoxantrone,CYP3A4,P08684,inhibition,Unknown
3657,Hydroxyurea,5291,Imatinib,CYP2D6,P10635,inhibition,Moderate
2162,Amlodipine,5426,Thalidomide,CYP3A5,P20815,induction,Moderate
2162,Amlodipine,5426,Thalidomide,CYP1A2,P05177,inhibition,Moderate
3672,"Ibuprofen, (+-)-",5376,"(E,Z)-Tamoxifen",CYP2C9,P11712,inhibition,Unknown
3672,"Ibuprofen, (+-)-",5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3672,"Ibuprofen, (+-)-",5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
3488,Glibenclamide,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3488,Glibenclamide,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
3676,Lidocaine,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
2160,Amitriptyline,5426,Thalidomide,CYP3A5,P20815,induction,Moderate
2160,Amitriptyline,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2764,Ciprofloxacin,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Moderate
2764,Ciprofloxacin,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2764,Ciprofloxacin,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Moderate
2764,Ciprofloxacin,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,3749,Irbesartan,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3749,Irbesartan,CYP3A4,P08684,inhibition,Unknown
2250,Atorvastatin EP Impurity B,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
2250,Atorvastatin EP Impurity B,60953,Capecitabine,CYP2C9,P11712,induction,Unknown
3899,Leflunomide,5656,Venlafaxine,ABCG2 (BCRP),Q9UNQ0,transporter_induction,Unknown
3899,Leflunomide,5656,Venlafaxine,CYP2C9,P11712,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",10631,Medroxyprogesterone,CYP3A4,P08684,induction,Minor
5376,"(E,Z)-Tamoxifen",10631,Medroxyprogesterone,CYP2C9,P11712,inhibition,Minor
2083,Salbutamol,2187,Anastrozole,CYP3A4,P08684,inhibition,Unknown
2771,Citalopram,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2907,Cyclophosphamide,5426,Thalidomide,CYP3A5,P20815,induction,Major
2907,Cyclophosphamide,5426,Thalidomide,CYP2C19,P33261,inhibition,Major
3385,5-Fluorouracil,60953,Capecitabine,CYP2C9,P11712,inhibition,Moderate
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
5426,Thalidomide,5478,(+-)-Timolol,CYP2C19,P33261,inhibition,Moderate
