CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
4212,Mitoxantrone,34312,Oxcarbazepine,CYP3A4,P08684,induction,Unknown
4212,Mitoxantrone,34312,Oxcarbazepine,CYP3A4,P08684,inhibition,Unknown
3333,Felodipine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3333,Felodipine,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,5454,Thiothixene (USAN:USP),CYP2D6,P10635,inhibition,Unknown
3333,Felodipine,3385,5-Fluorouracil,CYP2C9,P11712,inhibition,Unknown
2812,Clotrimazole,3899,Leflunomide,CYP2C9,P11712,inhibition,Major
5394,Temozolomide,110635,Tadalafil,CYP3A4,P08684,induction,Unknown
5394,Temozolomide,110635,Tadalafil,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,124087,Desloratadine,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,124087,Desloratadine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,124087,Desloratadine,CYP2C9,P11712,induction,Unknown
3702,Indapamide,5291,Imatinib,CYP3A4,P08684,inhibition,Unknown
5426,Thalidomide,216239,Sorafenib,CYP3A5,P20815,induction,Moderate
5426,Thalidomide,216239,Sorafenib,CYP1A2,P05177,inhibition,Moderate
4205,Mirtazapine,123631,Gefitinib,CYP2D6,P10635,induction,Unknown
4205,Mirtazapine,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
3749,Irbesartan,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
3749,Irbesartan,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
3961,Losartan,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Unknown
3961,Losartan,14888,Arsenic Trioxide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
5077,3-[1-(Dimethylamino)ethyl]phenyl ethyl(methyl)carbamate,176870,Erlotinib,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,4539,Norfloxacin,CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,5215,Sulfadiazine,CYP2C9,P11712,inhibition,Moderate
4829,Pioglitazone,176870,Erlotinib,CYP2C8,P10632,inhibition,Unknown
4829,Pioglitazone,176870,Erlotinib,CYP3A4,P08684,induction,Unknown
3793,Itrizole,14888,Arsenic Trioxide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3793,Itrizole,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Unknown
3793,Itrizole,14888,Arsenic Trioxide,CYP1A1,P04798,induction,Unknown
34312,Oxcarbazepine,216239,Sorafenib,CYP3A4,P08684,inhibition,Moderate
34312,Oxcarbazepine,216239,Sorafenib,CYP3A4,P08684,induction,Moderate
2662,Celecoxib,13342,Vinblastine,CYP3A4,P08684,inhibition,Unknown
2895,Cyclobenzaprine,216239,Sorafenib,CYP1A2,P05177,inhibition,Unknown
3152,Donepezil,3385,5-Fluorouracil,CYP2C9,P11712,inhibition,Unknown
5978,Vincristine,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Unknown
5978,Vincristine,14888,Arsenic Trioxide,ABCC2 (MRP2),Q92887,transporter_induction,Unknown
5978,Vincristine,14888,Arsenic Trioxide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
