drug,our_enzymes,kegg_enzymes,agree
Simvastatin,"['ABCB1 (P-gp)', 'ABCC2 (MRP2)', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'SLCO1A2 (OATP1A2)']",['CYP3A4'],True
Trazodone,"['ABCB1 (P-gp)', 'CYP2D6', 'CYP3A4']","['CYP2D6', 'CYP3A4']",True
Triazolam,"['CYP2C9', 'CYP3A4']",['CYP3A4'],True
Venlafaxine,"['ABCB1 (P-gp)', 'ABCG2 (BCRP)', 'CYP2C19', 'CYP2C9', 'CYP2D6', 'CYP3A4']",['CYP2D6'],True
Ranolazine,['CYP3A4'],['CYP3A'],False
Zolpidem,"['CYP1A2', 'CYP2C19', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5']","['CYP1A2', 'CYP3A4']",True
Zonisamide,['CYP3A4'],['CYP3A'],False
Zopiclone,"['CYP2C9', 'CYP3A4']",['CYP3A4'],True
Vincristine,"['ABCB1 (P-gp)', 'ABCC1', 'ABCC2 (MRP2)', 'ABCC3', 'CYP3A4', 'CYP3A5']",['CYP3A'],False
Exemestane,"['CYP19A1', 'CYP3A4']",['CYP3A4'],True
Aripiprazole,['CYP2D6'],"['CYP2D6', 'CYP3A4']",True
Capecitabine,['CYP2C9'],['CYP2C9'],True
Eletriptan,"['CYP2D6', 'CYP3A4']",['CYP3A4'],True
