drug_A,drug_B,enzymes,mechanism,severity,in_trial,trial_AEs,in_trueDDI
Fexofenadine,Sorafenib,"ABCB1 (P-gp), CYP2D6","CYP inhibition, transporter inhibition",Moderate,No,0,No
Fluoxetine,Sorafenib,"ABCB1 (P-gp), CYP1A2","CYP inhibition, transporter inhibition",Moderate,No,0,No
Risperidone,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Nifedipine,Gefitinib,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Vincristine,Simvastatin,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Celecoxib,Ritonavir,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,Yes
Imatinib,Timolol,"ABCB1 (P-gp), CYP2D6","CYP inhibition, transporter inhibition",Moderate,No,0,No
Celecoxib,Rac-Efavirenz,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,Yes
Phenytoin,Medroxyprogesterone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,Yes
Salbutamol,Dasatinib,CYP3A4,CYP inhibition,Moderate,No,0,No
Propranolol,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Simvastatin,Bexarotene,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Imatinib,Torasemide,CYP2C19,CYP inhibition,Moderate,No,0,No
Atorvastatin EP Impurity B,Mitoxantrone,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Pioglitazone,Imatinib,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Cyclophosphamide,Glipizide,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Imatinib,Simvastatin,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Moderate,No,0,Yes
Fentanyl,Ifosfamide,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Salbutamol,Bicalutamide,CYP3A4,CYP inhibition,Moderate,No,0,No
Dapsone,Vincristine,CYP3A4,CYP inhibition,Moderate,No,0,No
Promethazine,Sorafenib,"ABCB1 (P-gp), CYP2C9","CYP inhibition, transporter inhibition",Moderate,No,0,No
Mitoxantrone,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Imatinib,Bosentan,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Temozolomide,Vinblastine,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Busulfan,Ifosfamide,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Celecoxib,Miconazole,CYP3A4,CYP inhibition,Moderate,No,0,No
Ifosfamide,Oxazepam,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Salbutamol,Flutamide,CYP3A4,CYP inhibition,Moderate,No,0,No
Salmeterol,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Losartan,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Hydroxyzine,Tamoxifen,CYP2D6,CYP inhibition,Moderate,No,0,No
Clonazepam,Imatinib,CYP3A4,CYP inhibition,Moderate,No,0,No
Fluconazole,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Lovastatin,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Bicalutamide,Venlafaxine,CYP3A4,CYP inhibition,Moderate,No,0,No
Erythromycin,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,Yes
Fluconazole,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Valproic Acid,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Moderate,No,0,No
Mirtazapine,Imatinib,"CYP2D6, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,No
Dapsone,Imatinib,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,No
Tamoxifen,Aripiprazole,CYP2D6,"CYP induction, CYP inhibition",Moderate,No,0,No
Felodipine,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Thalidomide,Sorafenib,"CYP1A2, CYP3A5","CYP induction, CYP inhibition",Moderate,No,0,No
Celecoxib,Norfloxacin,CYP3A4,CYP inhibition,Moderate,No,0,No
Celecoxib,Sulfadiazine,CYP2C9,CYP inhibition,Moderate,No,0,No
Oxcarbazepine,Sorafenib,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Dapsone,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Moderate,No,0,No
Celecoxib,Perphenazine,CYP2D6,CYP inhibition,Moderate,No,0,No
Mirtazapine,Sorafenib,"CYP1A2, CYP2D6","CYP induction, CYP inhibition",Moderate,No,0,No
Tamoxifen,Trimipramine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Clomipramine,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Lovastatin,Imatinib,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Moderate,No,0,Yes
Carbamazepine,Gefitinib,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,Yes
Verapamil,Erlotinib,"ABCB1 (P-gp), ABCG2 (BCRP), CYP2C8","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Arthrotec,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Salbutamol,Arsenic Trioxide,CYP3A4,CYP inhibition,Moderate,No,0,No
Isoniazid,Thalidomide,"CYP2C19, CYP2E1","CYP induction, CYP inhibition",Moderate,No,0,No
Alfuzosin,Bicalutamide,CYP3A4,CYP inhibition,Moderate,No,0,No
Carisoprodol,Thalidomide,CYP2C19,CYP inhibition,Moderate,No,0,No
Fluconazole,Dasatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Vincristine,Dasatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Metronidazole,Capecitabine,CYP2C9,CYP inhibition,Moderate,No,0,Yes
Ifosfamide,Venlafaxine,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Mitoxantrone,Nifedipine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Ritonavir,Medroxyprogesterone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,Yes
Venlafaxine,Dasatinib,"ABCB1 (P-gp), ABCG2 (BCRP), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Doxepin,Thalidomide,CYP2C19,CYP inhibition,Moderate,No,0,Yes
Clomipramine,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Imatinib,Oxcarbazepine,"CYP2C19, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,No
Imatinib,Voriconazole,CYP3A4,CYP inhibition,Moderate,No,0,Yes
Erythromycin,Bortezomib,CYP1A2,CYP inhibition,Moderate,No,0,Yes
Cyclophosphamide,Bosentan,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Imatinib,Venlafaxine,"ABCB1 (P-gp), ABCG2 (BCRP), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Ifosfamide,Paroxetine,CYP2C9,"CYP induction, CYP inhibition",Moderate,No,0,No
Ciprofloxacin,Erlotinib,"ABCB1 (P-gp), CYP1A2","CYP inhibition, transporter inhibition",Moderate,No,0,No
Doxepin,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Cyclophosphamide,Indapamide,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Imatinib,Tolterodine,CYP3A4,CYP inhibition,Moderate,No,0,No
Hydroxychloroquine,Imatinib,CYP2D6,CYP inhibition,Moderate,No,0,No
Carbamazepine,Sorafenib,"ABCB1 (P-gp), CYP1A2","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,Yes
Ifosfamide,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Modafinil,Sorafenib,CYP1A2,"CYP induction, CYP inhibition",Moderate,No,0,No
Alprazolam,Ifosfamide,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Fluconazole,Vinblastine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,Yes
Rac-Efavirenz,Medroxyprogesterone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,Yes
Nortriptyline,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Ifosfamide,Promethazine,CYP2C9,"CYP induction, CYP inhibition",Moderate,No,0,No
Oxcarbazepine,Gefitinib,"CYP2C19, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,No
Phenytoin,Erlotinib,"CYP2C8, CYP3A4","CYP induction, CYP inhibition",Moderate,No,0,Yes
Phenytoin,Gefitinib,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Moderate,No,0,Yes
Celecoxib,Voriconazole,CYP3A4,CYP inhibition,Moderate,No,0,Yes
Salbutamol,Sorafenib,CYP3A4,CYP inhibition,Moderate,No,0,No
Norfloxacin,Sorafenib,CYP1A2,CYP inhibition,Moderate,No,0,No
Tamoxifen,Torasemide,CYP2C19,CYP inhibition,Moderate,No,0,No
Nevirapine,Vinblastine,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,Yes
Tamoxifen,Trazodone,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Moderate,No,0,No
Norfloxacin,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Moderate,No,0,No
Voriconazole,Erlotinib,CYP3A4,CYP inhibition,Moderate,No,0,Yes
Loperamide,Arsenic Trioxide,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Moderate,No,0,No
Phenytoin,Capecitabine,CYP2C9,"CYP induction, CYP inhibition",Moderate,No,0,Yes
Meperidine,Thalidomide,CYP2C19,CYP inhibition,Moderate,No,0,Yes
Fentanyl,Thalidomide,CYP3A5,CYP induction,Moderate,No,0,Yes
Alprazolam,Thalidomide,CYP3A5,CYP induction,Moderate,No,0,Yes
Risperidone,Thalidomide,CYP3A5,CYP induction,Moderate,No,0,Yes
Celecoxib,Bosentan,CYP3A4,CYP induction,Moderate,No,0,No
Clonidine,Thalidomide,CYP3A5,CYP induction,Moderate,No,0,Yes
Phenytoin,Busulfan,CYP3A4,CYP induction,Moderate,No,0,Yes
Medroxyprogesterone,Oxcarbazepine,CYP3A4,CYP induction,Moderate,No,0,Yes
(3H)granisetron,Thalidomide,CYP3A5,CYP induction,Moderate,No,0,No
Cyclophosphamide,Glimepiride,CYP2C9,CYP induction,Moderate,No,0,No
Carbamazepine,Exemestane,CYP3A4,CYP induction,Moderate,No,0,No
Letrozole,Oxcarbazepine,CYP3A4,CYP induction,Moderate,No,0,No
Methotrexate,Norfloxacin,SLCO1B1 (OATP1B1),transporter inhibition,Moderate,No,0,No
Valproic Acid,Methotrexate,SLCO1B1 (OATP1B1),transporter inhibition,Moderate,No,0,No
Doxorubicin,Ofloxacin,ABCC1,transporter inhibition,Moderate,No,0,No
Lovastatin,Methotrexate,ABCC2 (MRP2),transporter inhibition,Moderate,No,0,No
5-Fluorouracil,Mitoxantrone,ABCG2 (BCRP),transporter inhibition,Moderate,No,0,No
Methotrexate,Ofloxacin,ABCC2 (MRP2),transporter inhibition,Moderate,No,0,No
Methotrexate,Simvastatin,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Erythromycin,Methotrexate,"ABCB1 (P-gp), ABCC1","transporter induction, transporter inhibition",Moderate,No,0,No
Doxorubicin,Mitoxantrone,ABCC1,transporter inhibition,Moderate,No,0,No
Methotrexate,Tamoxifen,ABCB1 (P-gp),"transporter induction, transporter inhibition",Moderate,No,0,No
Furosemide,Carboplatin,ABCC2 (MRP2),transporter inhibition,Moderate,No,0,Yes
Itrizole,Methotrexate,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
1-(2-Methyl-3-sulfanylpropanoyl)proline,Methotrexate,SLCO1B1 (OATP1B1),transporter inhibition,Moderate,No,0,No
Hydrochlorothiazide,Methotrexate,SLCO1B1 (OATP1B1),transporter inhibition,Moderate,No,0,No
Carbamazepine,Methotrexate,"ABCB1 (P-gp), ABCC2 (MRP2)","transporter induction, transporter inhibition",Moderate,No,0,No
Theophylline,Methotrexate,SLC22A7,transporter inhibition,Moderate,No,0,No
Carboplatin,Bortezomib,SLC31A1,transporter inhibition,Moderate,No,0,No
Clotrimazole,Methotrexate,"ABCB1 (P-gp), ABCC2 (MRP2)","transporter induction, transporter inhibition",Moderate,No,0,No
Fluconazole,Methotrexate,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Doxorubicin,Verapamil,ABCC1,transporter inhibition,Moderate,No,0,Yes
Pantoprazole,Carboplatin,ABCG2 (BCRP),transporter inhibition,Moderate,No,0,No
Celecoxib,Dipyridamole,ABCC4 (MRP4),transporter inhibition,Moderate,No,0,No
Phenytoin,Methotrexate,ABCC2 (MRP2),transporter inhibition,Moderate,No,0,Yes
Doxorubicin,Ritonavir,ABCC1,"transporter induction, transporter inhibition",Moderate,No,0,Yes
Methotrexate,Rofecoxib,ABCC4 (MRP4),transporter inhibition,Moderate,No,0,Yes
Glibenclamide,Megestrol,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Vincristine,Carboplatin,ABCC2 (MRP2),transporter inhibition,Moderate,No,0,No
Methotrexate,Pioglitazone,SLCO1B1,transporter inhibition,Moderate,No,0,No
Lansoprazole,Carboplatin,ABCG2 (BCRP),transporter inhibition,Moderate,No,0,No
Enalapril,Methotrexate,SLCO1B1 (OATP1B1),transporter inhibition,Moderate,No,0,No
Ciprofloxacin,Methotrexate,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,Yes
Carbamazepine,Megestrol,ABCB1 (P-gp),"transporter induction, transporter inhibition",Moderate,No,0,Yes
Phenytoin,Megestrol,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,Yes
Gemfibrozil,Methotrexate,SLCO1B1,transporter inhibition,Moderate,No,0,No
Paroxetine,Dasatinib,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Imatinib,Carboplatin,ABCG2 (BCRP),transporter inhibition,Moderate,No,0,No
Methotrexate,Zoledronic Acid,ABCC1,transporter inhibition,Moderate,No,0,No
Celecoxib,Methotrexate,ABCC4 (MRP4),transporter inhibition,Moderate,No,0,Yes
Mitoxantrone,Carboplatin,ABCG2 (BCRP),transporter inhibition,Moderate,No,0,No
Methotrexate,Ritonavir,ABCB1 (P-gp),"transporter induction, transporter inhibition",Moderate,No,0,Yes
Loperamide,Dasatinib,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
5-Fluorouracil,Methotrexate,ABCC3,transporter inhibition,Moderate,No,0,No
Ketoconazole,Methotrexate,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Tamoxifen,Mitomycin C,ABCB1 (P-gp),"transporter induction, transporter inhibition",Moderate,No,0,No
Cyclophosphamide,Mitomycin C,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Atorvastatin EP Impurity B,Methotrexate,ABCC2 (MRP2),transporter inhibition,Moderate,No,0,No
Doxorubicin,Erythromycin,ABCC1,transporter inhibition,Moderate,No,0,No
Mitoxantrone,Mitomycin C,ABCB1 (P-gp),"transporter induction, transporter inhibition",Moderate,No,0,No
Methotrexate,Mitomycin C,ABCB1 (P-gp),transporter inhibition,Moderate,No,0,No
Mitomycin C,Vincristine,ABCB1 (P-gp),"transporter induction, transporter inhibition",Moderate,No,0,Yes
Methotrexate,Nefazodone,ABCB1 (P-gp),transporter induction,Moderate,No,0,No
Methotrexate,6-Mercaptopurine,SLCO1B3? (OATP),transporter inhibition,Minor,Yes,199,Yes
Doxorubicin,Vincristine,ABCC1,transporter inhibition,Minor,Yes,196,Yes
Doxorubicin,Vinblastine,ABCC1,"transporter induction, transporter inhibition",Minor,Yes,69,Yes
Vincristine,Vinblastine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Minor,Yes,65,Yes
Cyclophosphamide,Indomethacin,"ABCB1 (P-gp), CYP2C19, CYP2C9","CYP induction, CYP inhibition, transporter inhibition",Minor,Yes,5,Yes
Prilosec,Bortezomib,CYP3A4,CYP inhibition,Minor,No,0,No
Celecoxib,Tolterodine,CYP2D6,CYP inhibition,Minor,No,0,No
Modafinil,Erlotinib,CYP1A2,"CYP induction, CYP inhibition",Minor,No,0,No
Citalopram,Imatinib,CYP3A4,CYP inhibition,Minor,No,0,No
Valproic Acid,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Minor,No,0,No
Tamoxifen,Medroxyprogesterone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Minor,No,0,No
Atorvastatin EP Impurity B,Medroxyprogesterone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Minor,No,0,No
Pantoprazole,Bortezomib,CYP1A2,"CYP induction, CYP inhibition",Minor,No,0,No
Clopidogrel,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Minor,No,0,No
Ciprofloxacin,5-Fluorouracil,CYP1A2,CYP inhibition,Minor,No,0,No
Ciprofloxacin,Mitoxantrone,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Minor,No,0,No
Pioglitazone,Medroxyprogesterone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Minor,No,0,No
Citalopram,Bortezomib,CYP3A4,CYP inhibition,Minor,No,0,No
Cyclophosphamide,Ondansetron,"CYP2D6, CYP3A4","CYP induction, CYP inhibition",Minor,No,0,No
Busulfan,Ciprofloxacin,CYP3A4,CYP inhibition,Minor,No,0,No
Ciprofloxacin,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Minor,No,0,No
Ciprofloxacin,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Minor,No,0,No
Celecoxib,Donepezil,CYP2D6,CYP inhibition,Minor,No,0,No
Ciprofloxacin,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Minor,No,0,No
Metronidazole,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Minor,No,0,No
Verapamil,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Minor,No,0,No
5-Fluorouracil,Ofloxacin,CYP1A2,CYP inhibition,Minor,No,0,No
Donepezil,Gefitinib,CYP2C9,CYP inhibition,Minor,No,0,No
Celecoxib,Ranolazine,CYP3A4,CYP inhibition,Minor,No,0,No
Propranolol,Bortezomib,CYP1A2,CYP inhibition,Minor,No,0,No
Modafinil,Bortezomib,CYP1A2,"CYP induction, CYP inhibition",Minor,No,0,No
Cyclophosphamide,Norfloxacin,CYP3A4,"CYP induction, CYP inhibition",Minor,No,0,No
Cimetidine,5-Fluorouracil,"CYP2C9, SLC22A7","CYP inhibition, transporter inhibition",Minor,No,0,No
Carmustine,Ofloxacin,CYP1A2,CYP inhibition,Minor,No,0,No
Diazepam,Bortezomib,CYP1A2,CYP inhibition,Minor,No,0,No
Modafinil,Imatinib,"CYP1A2, CYP3A4","CYP induction, CYP inhibition",Minor,No,0,No
Donepezil,Imatinib,CYP3A4,CYP inhibition,Minor,No,0,No
Ciprofloxacin,Ifosfamide,CYP3A4,"CYP induction, CYP inhibition",Minor,No,0,No
Norfloxacin,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Minor,No,0,No
Tolterodine,Gefitinib,CYP2C9,CYP inhibition,Minor,No,0,No
Ciprofloxacin,Thiotepa,CYP3A4,CYP inhibition,Minor,No,0,No
Carmustine,Ciprofloxacin,CYP1A2,CYP inhibition,Minor,No,0,No
Mitoxantrone,Norfloxacin,CYP3A4,CYP inhibition,Minor,No,0,No
Methotrexate,Levetiracetam,ABCC2 (MRP2),transporter inhibition,Minor,No,0,No
Ofloxacin,Carboplatin,ABCC2 (MRP2),transporter inhibition,Minor,No,0,No
Ofloxacin,Vincristine,ABCC2 (MRP2),transporter inhibition,Minor,No,0,No
Chloroquine,Methotrexate,ABCB1 (P-gp),transporter inhibition,Minor,No,0,No
Mitoxantrone,Ofloxacin,ABCC1,transporter inhibition,Minor,No,0,No
5-Fluorouracil,Vincristine,ABCC3,transporter inhibition,Minor,No,0,No
Ciprofloxacin,Mitomycin C,ABCB1 (P-gp),transporter inhibition,Minor,No,0,No
Tamoxifen,Exemestane,"CYP19A1, CYP3A4","CYP induction, CYP inhibition",Unknown,Yes,430,Yes
Cyclophosphamide,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,Yes,293,Yes
Cyclophosphamide,Methotrexate,ABCB1 (P-gp),transporter inhibition,Unknown,Yes,216,Yes
Cyclophosphamide,Bortezomib,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,195,Yes
Cyclophosphamide,Trimethoprim,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,Yes,185,Yes
Trimethoprim,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Unknown,Yes,185,Yes
Carboplatin,Erlotinib,ABCG2 (BCRP),transporter inhibition,Unknown,Yes,130,Yes
Cyclophosphamide,Lenalidomide,ABCB1 (P-gp),transporter inhibition,Unknown,Yes,119,No
Gefitinib,Erlotinib,"ABCG2 (BCRP), CYP2D6","CYP inhibition, transporter inhibition",Unknown,Yes,102,No
Anastrozole,Fulvestrant,CYP3A4,CYP inhibition,Unknown,Yes,91,Yes
Carboplatin,Gefitinib,ABCG2 (BCRP),transporter inhibition,Unknown,Yes,77,Yes
Ifosfamide,Vincristine,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,75,Yes
Letrozole,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,64,Yes
Cyclophosphamide,Capecitabine,CYP2C9,"CYP induction, CYP inhibition",Unknown,Yes,63,Yes
Celecoxib,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,62,Yes
Celecoxib,Ifosfamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,62,Yes
Celecoxib,Vincristine,CYP3A4,CYP inhibition,Unknown,Yes,62,Yes
Celecoxib,Vinblastine,CYP3A4,CYP inhibition,Unknown,Yes,62,Yes
Mitoxantrone,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Unknown,Yes,40,Yes
Anastrozole,Exemestane,CYP19A1,CYP inhibition,Unknown,Yes,35,Yes
Anastrozole,Capecitabine,CYP2C9,CYP inhibition,Unknown,Yes,26,Yes
Anastrozole,5-Fluorouracil,CYP2C9,CYP inhibition,Unknown,Yes,26,Yes
5-Fluorouracil,Tamoxifen,CYP2C9,CYP inhibition,Unknown,Yes,26,Yes
Anastrozole,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,26,Yes
Tamoxifen,Capecitabine,CYP2C9,CYP inhibition,Unknown,Yes,26,Yes
Temozolomide,Sorafenib,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,22,No
Celecoxib,5-Fluorouracil,"ABCC4 (MRP4), CYP2C9","CYP inhibition, transporter inhibition",Unknown,Yes,13,No
Celecoxib,Capecitabine,CYP2C9,CYP inhibition,Unknown,Yes,13,No
Celecoxib,Temozolomide,CYP3A4,CYP induction,Unknown,Yes,13,No
Ifosfamide,Bortezomib,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,10,Yes
Cyclophosphamide,Prilosec,"CYP2C19, CYP3A4","CYP induction, CYP inhibition",Unknown,Yes,5,Yes
Arsenic Trioxide,Bortezomib,CYP3A4,CYP inhibition,Unknown,Yes,4,No
5-Fluorouracil,Gefitinib,"ABCG2 (BCRP), CYP2C9","CYP inhibition, transporter inhibition",Unknown,Yes,3,Yes
Letrozole,Exemestane,CYP19A1,CYP inhibition,Unknown,Yes,3,Yes
Anastrozole,Letrozole,CYP19A1,CYP inhibition,Unknown,Yes,3,Yes
Temozolomide,Bortezomib,CYP3A4,"CYP induction, CYP inhibition",Unknown,Yes,3,No
Bicalutamide,Flutamide,CYP3A4,CYP inhibition,Unknown,Yes,3,Yes
Temozolomide,Erlotinib,CYP3A4,CYP induction,Unknown,Yes,1,Yes
Acetaminophen,Letrozole,"CYP2A6, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Cyclophosphamide,Diazepam,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Enalapril,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Dapsone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Amlodipine,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Propofol,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Celecoxib,Zolpidem,CYP2D6,CYP inhibition,Unknown,No,0,No
Letrozole,Loratadine,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Prilosec,Vincristine,CYP3A4,CYP inhibition,Unknown,No,0,No
Tamoxifen,Zolpidem,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Temazepam,Sorafenib,CYP3A4,CYP inhibition,Unknown,No,0,No
Aspirin,Sorafenib,"ABCB1 (P-gp), CYP2C19, CYP2C9","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Salbutamol,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Acetaminophen,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Leflunomide,Zopiclone,CYP2C9,CYP inhibition,Unknown,No,0,No
Paroxetine,Gefitinib,"ABCB1 (P-gp), CYP2C9","CYP inhibition, transporter inhibition",Unknown,No,0,No
Celecoxib,Lansoprazole,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Acetaminophen,Vinblastine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Hydroxychloroquine,CYP2D6,CYP inhibition,Unknown,No,0,No
Respules,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
