enzyme,HPO,AE_name,observed,expected,log2FE,p,q
ABCB1 (P-gp),HP:0030078,Lung adenocarcinoma,155,125.9,0.3,0.0020447800597599665,0.023451260922766382
ABCB1 (P-gp),HP:0001399,Hepatic failure,1315,1228.4,0.1,0.0024760448835719983,0.027264710755002204
ABCB1 (P-gp),HP:0002634,Arteriosclerosis,1207,1125.4,0.1,0.002844048206780524,0.030790605936153296
ABCB1 (P-gp),HP:0002153,Hyperkalemia,1375,1287.8,0.09,0.002855438899511639,0.0308077381514592
ABCB1 (P-gp),HP:0002239,Gastrointestinal hemorrhage,1819,1718.6,0.08,0.0028879681557590874,0.03095830892387982
ABCB1 (P-gp),HP:0100584,Endocarditis,469,418.9,0.16,0.0029035789185607127,0.031000918564191033
ABCB1 (P-gp),HP:0012763,Paroxysmal dyspnea,277,238.9,0.21,0.002914028702902176,0.03102677943999149
ABCB1 (P-gp),HP:0002953,Vertebral compression fracture,650,591.1,0.14,0.0030683911104924253,0.032226444679492455
ABCB1 (P-gp),HP:0001909,Leukemia,704,643.2,0.13,0.003332269244700574,0.034714880406381994
ABCB1 (P-gp),HP:0000846,Adrenal insufficiency,551,497.5,0.15,0.0034191405278100446,0.03544359082275554
ABCB1 (P-gp),HP:0012126,Stomach cancer,258,222.1,0.22,0.0035467452856107846,0.036265001399168474
ABCB1 (P-gp),HP:0000458,Anosmia,400,355.6,0.17,0.004021593791957496,0.039651683688560514
ABCB1 (P-gp),HP:0012740,Papilloma,73,55.0,0.41,0.004206282445690422,0.04115767506985691
ABCB1 (P-gp),HP:0002202,Pleural effusion,2376,2266.8,0.07,0.0044017050009979635,0.04242541104453149
ABCB1 (P-gp),HP:0002625,Deep venous thrombosis,1810,1715.4,0.08,0.00462777883526619,0.043839130387999574
ABCB1 (P-gp),HP:0002186,Apraxia,216,184.4,0.23,0.004681645538734966,0.044025693448201085
ABCB1 (P-gp),HP:0000979,Purpura,586,533.3,0.14,0.005007531137514701,0.04553907728586899
ABCB1 (P-gp),HP:0100309,Subdural hemorrhage,565,513.4,0.14,0.005046597380860104,0.045786617082216666
CYP1A2,HP:0003470,Paralysis,273,187.1,0.54,4.3014135663782347e-10,6.64998537362075e-08
CYP1A2,HP:0002321,Vertigo,1364,1189.8,0.2,1.2405530181743575e-07,8.71770439135253e-06
CYP1A2,HP:0002099,Asthma,636,532.3,0.26,2.7435641658914545e-06,0.00012049858524057354
CYP1A2,HP:0002076,Migraine,544,451.8,0.27,6.015264250552047e-06,0.0002301880824592442
CYP1A2,HP:0005263,Gastritis,623,525.9,0.24,9.0734006026606e-06,0.0003188063029934838
CYP1A2,HP:0006280,Chronic pancreatitis,270,211.3,0.35,2.860910090063217e-05,0.0008571641471390956
CYP1A2,HP:0012388,Acute bronchitis,327,264.0,0.31,5.0930802103309236e-05,0.0013390989804713618
CYP1A2,HP:0003763,Bruxism,584,500.2,0.22,7.166690757837034e-05,0.0017531177075341858
CYP1A2,HP:0000853,Goiter,213,164.8,0.37,9.53544050227776e-05,0.002180738316053464
CYP1A2,HP:0010770,Pilonidal fistula,34,17.1,0.99,9.835094812647274e-05,0.0022229614883556557
CYP1A2,HP:0030833,Neck pain,569,488.4,0.22,0.00010898150537518806,0.0024207673464086313
CYP1A2,HP:0002591,Polyphagia,313,254.3,0.3,0.00011213110632177299,0.0024764955767637292
CYP1A2,HP:0012710,Ingrown nail,87,58.1,0.58,0.0001258068240180836,0.0026655760499610637
CYP1A2,HP:0012075,Personality disorder,173,130.7,0.4,0.00012620968102014868,0.0026655760499610637
CYP1A2,HP:0001369,Arthritis,515,440.6,0.23,0.00016410612220657344,0.0032777560911417957
CYP1A2,HP:0100608,Metrorrhagia,189,146.2,0.37,0.00022228795738065733,0.004182266742198577
CYP1A2,HP:0030788,Impacted cerumen,76,50.5,0.59,0.0002782122742175604,0.004978196480791069
CYP1A2,HP:0000822,Hypertension,1543,1419.7,0.12,0.0003721498561636787,0.006281044515600953
CYP1A2,HP:0001818,Paronychia,75,50.3,0.58,0.00039032175260863004,0.006446981084753655
CYP1A2,HP:0010780,Hyperacusis,72,47.9,0.59,0.00041298463648981406,0.0067021381191666625
CYP1A2,HP:0002315,Headache,900,808.9,0.15,0.0005224536161244752,0.008130434431685603
CYP1A2,HP:0011109,Chronic sinusitis,158,121.7,0.38,0.0005599381010580485,0.008566498996815509
CYP1A2,HP:0000713,Agitation,693,614.0,0.17,0.0005719476728234919,0.008703062029381085
CYP1A2,HP:0001891,Iron deficiency anemia,297,247.5,0.26,0.0007679049647941112,0.010911590768122205
CYP1A2,HP:0001962,Palpitations,591,520.1,0.18,0.0007819587194944826,0.01103018412717582
CYP1A2,HP:0001025,Urticaria,382,325.6,0.23,0.0007916204615291174,0.01112586575930923
CYP1A2,HP:0010550,Paraplegia,106,77.8,0.45,0.0008493587674748653,0.011808531065792641
CYP1A2,HP:0000975,Hyperhidrosis,644,571.0,0.17,0.000916544317014953,0.012473393610080258
CYP1A2,HP:0100022,Abnormality of movement,269,223.4,0.27,0.001092122892989637,0.014164614031560224
